track 1;
7 0.680291 0.27719;
0 0.669896 0.27719;
12 0.669896 0.269382;
0 0.659501 0.269382;
4 0.659501 0.259621;
0 0.647027 0.259621;
10 0.647027 0.249861;
0 0.634553 0.249861;
6 0.634553 0.240101;
0 0.62 0.240101;
8 0.62 0.228389;
0 0.603368 0.228389;
10 0.603368 0.218628;
0 0.590894 0.218628;
6 0.590894 0.208868;
0 0.576341 0.208868;
8 0.576341 0.199108;
0 0.563867 0.199108;
8 0.563867 0.189348;
0 0.547235 0.189348;
15 0.547235 0.183492;
0 0.538919 0.183492;
0 0.538919 0.175684;
0 0.524366 0.175684;
9 0.524366 0.169827;
0 0.513971 0.169827;
8 0.513971 0.163971;
0 0.503576 0.163971;
9 0.503576 0.160067;
0 0.493181 0.160067;
9 0.493181 0.156163;
0 0.482786 0.156163;
6 0.482786 0.152259;
0 0.470312 0.152259;
8 0.470312 0.150307;
0 0.464075 0.150307;
10 0.464075 0.148355;
0 0.45368 0.148355;
6 0.45368 0.144451;
0 0.443285 0.144451;
8 0.443285 0.140547;
0 0.434969 0.140547;
8 0.434969 0.140547;
0 0.426653 0.140547;
12 0.426653 0.136643;
0 0.412099 0.136643;
4 0.412099 0.134691;
0 0.395467 0.134691;
9 0.395467 0.134691;
0 0.380914 0.134691;
7 0.380914 0.134691;
0 0.364282 0.134691;
12 0.364282 0.134691;
0 0.355966 0.134691;
4 0.355966 0.134691;
0 0.345571 0.134691;
11 0.345571 0.134691;
0 0.337255 0.134691;
6 0.337255 0.134691;
0 0.32686 0.134691;
8 0.32686 0.134691;
0 0.320623 0.134691;
8 0.320623 0.134691;
0 0.312307 0.134691;
8 0.312307 0.136643;
0 0.303991 0.136643;
8 0.303991 0.138595;
0 0.297754 0.138595;
8 0.297754 0.138595;
0 0.291517 0.138595;
8 0.291517 0.138595;
0 0.289438 0.138595;
9 0.289438 0.142499;
0 0.28528 0.142499;
7 0.28528 0.142499;
0 0.283201 0.142499;
8 0.283201 0.144451;
0 0.281122 0.144451;
9 0.281122 0.144451;
0 0.279043 0.144451;
8 0.279043 0.146403;
0 0.274885 0.146403;
7 0.274885 0.150307;
0 0.272806 0.150307;
8 0.272806 0.150307;
0 0.272806 0.150307;
13 0.272806 0.150307;
0 0.270727 0.150307;
3 0.270727 0.152259;
0 0.268648 0.152259;
8 0.268648 0.152259;
0 0.268648 0.152259;
8 0.268648 0.154211;
0 0.266569 0.154211;
11 0.266569 0.156163;
0 0.266569 0.156163;
5 0.266569 0.156163;
0 0.266569 0.156163;
9 0.266569 0.160067;
0 0.262411 0.160067;
7 0.262411 0.162019;
0 0.260332 0.162019;
18 0.260332 0.167875;
0 0.254095 0.167875;
8 0.254095 0.169827;
0 0.254095 0.169827;
6 0.254095 0.175684;
0 0.252016 0.175684;
8 0.252016 0.179588;
0 0.247858 0.179588;
8 0.247858 0.183492;
0 0.245779 0.183492;
8 0.245779 0.183492;
0 0.2437 0.183492;
8 0.2437 0.187396;
0 0.2437 0.187396;
8 0.2437 0.1913;
0 0.239542 0.1913;
8 0.239542 0.195204;
0 0.235384 0.195204;
10 0.235384 0.195204;
0 0.235384 0.195204;
0 0.235384 0.195204;
0 0.235384 0.195204;
0 0.235384 0.199108;
0 0.235384 0.199108;
7 0.235384 0.199108;
0 0.233305 0.199108;
8 0.233305 0.204964;
0 0.227068 0.204964;
9 0.227068 0.208868;
0 0.22291 0.208868;
8 0.22291 0.212772;
0 0.218752 0.212772;
7 0.218752 0.216676;
0 0.212515 0.216676;
8 0.212515 0.222533;
0 0.200041 0.222533;
8 0.200041 0.228389;
0 0.193804 0.228389;
8 0.193804 0.234245;
0 0.179251 0.234245;
8 0.179251 0.238149;
0 0.168856 0.238149;
8 0.168856 0.245957;
0 0.150145 0.245957;
9 0.150145 0.251813;
0 0.135592 0.251813;
7 0.135592 0.257669;
0 0.112723 0.257669;
9 0.112723 0.265477;
0 0.087775 0.265477;
8 0.087775 0.271334;
0 0.058669 0.271334;
10 0.058669 0.27719;
0 0.037879 0.27719;
6 0.037879 0.284998;
0 0.008773 0.284998;
end;
